CodDisciplina;NomeDisciplina;CodTurma;Turno;Campus;DiaAula;InicioAula;FimAula;SalaAula;FrequenciaAula;TipoAula;NomeProfessor;Por
BC0004;Bases Epistemologicas da Ciencia Moderna;A1;Noturno;Santo Andre;Terca-feira;19:00;21:00;A-101-0;semanal;Teorica;Anastasia Guidi Itokazu;Bacharelado em Ciencia e Tecnologia
BC0004;Bases Epistemologicas da Ciencia Moderna;A1;Noturno;Santo Andre;Quinta-feira;19:00;21:00;A-101-0;quinzenal I;Teorica;Anastasia Guidi Itokazu;Bacharelado em Ciencia e Tecnologia
BC0004;Bases Epistemologicas da Ciencia Moderna;A2;Noturno;Santo Andre;Terca-feira;19:00;21:00;S-212-0;semanal;Teorica;William Jose Steinle;Bacharelado em Ciencia e Tecnologia
BC0004;Bases Epistemologicas da Ciencia Moderna;A2;Noturno;Santo Andre;Quinta-feira;19:00;21:00;S-212-0;quinzenal I;Teorica;William Jose Steinle;Bacharelado em Ciencia e Tecnologia
BC0004;Bases Epistemologicas da Ciencia Moderna;A;Diurno;Santo Andre;Terca-feira;08:00;10:00;A-101-0;semanal;Teorica;Katya Margareth Aurani;Bacharelado em Ciencia e Tecnologia
BC0004;Bases Epistemologicas da Ciencia Moderna;A;Diurno;Santo Andre;Quinta-feira;08:00;10:00;A-101-0;quinzenal I;Teorica;Katya Margareth Aurani;Bacharelado em Ciencia e Tecnologia
BC0004;Bases Epistemologicas da Ciencia Moderna;B;Diurno;Santo Andre;Terca-feira;10:00;12:00;S-212-0;semanal;Teorica;Katya Margareth Aurani;Bacharelado em Ciencia e Tecnologia
BC0004;Bases Epistemologicas da Ciencia Moderna;B;Diurno;Santo Andre;Quinta-feira;10:00;12:00;S-212-0;quinzenal I;Teorica;Katya Margareth Aurani;Bacharelado em Ciencia e Tecnologia
BC0004;Bases Epistemologicas da Ciencia Moderna;B;Noturno;Santo Andre;Terca-feira;21:00;23:00;A-103-0;semanal;Teorica;Anastasia Guidi Itokazu;Bacharelado em Ciencia e Tecnologia
BC0004;Bases Epistemologicas da Ciencia Moderna;B;Noturno;Santo Andre;Quinta-feira;21:00;23:00;A-101-0;quinzenal I;Teorica;Anastasia Guidi Itokazu;Bacharelado em Ciencia e Tecnologia
BC0003;Bases Matematicas;A;Noturno;Santo Andre;Segunda-feira;19:00;21:00;A-106-0;semanal;Teorica;Vivili Maria Silva Gomes;Bacharelado em Ciencia e Tecnologia
BC0003;Bases Matematicas;A;Noturno;Santo Andre;Quarta-feira;21:00;23:00;A-106-0;semanal;Teorica;Vivili Maria Silva Gomes;Bacharelado em Ciencia e Tecnologia
BC1419;Calculo Numerico;A;Diurno;Santo Andre;Segunda-feira;08:00;10:00;S-212-0;semanal;Teorica;Joao Paulo Gois Joao Paulo Gois;Bacharelado em Ciencia da Computacao
BC1419;Calculo Numerico;A;Diurno;Santo Andre;Quarta-feira;10:00;12:00;S-212-0;semanal;Teorica;Joao Paulo Gois Joao Paulo Gois;Bacharelado em Ciencia da Computacao
BC0603;Ciencia Tecnologia e Sociedade;A;Diurno;Santo Andre;Terca-feira;08:00;10:00;S-206-0;semanal;Teorica;Neusa Serra;Bacharelado em Ciencia e Tecnologia
