MC6002; Laboratorio de Redes; A; Noturno; Santo Andre; Terca-feira; 21:00; 23:00; 404-2; semanal; Pratica; Nunzio Marco Torrisi; Bacharelado em Ciencia da Computacao;
MC6002; Laboratorio de Redes; A; Noturno; Santo Andre; Quinta-feira; 19:00; 21:00; 404-2; semanal; Pratica; Nunzio Marco Torrisi; Bacharelado em Ciencia da Computacao;
BC1426; Logica Basica; A; Noturno; Santo Andre; Sabado; 08:00; 12:00; S-213-0; semanal; Teorica; Rogerio Perino de Oliveira Neves; Bacharelado em Ciencia da Computacao;
BC0504; Natureza da Informacao; A; Noturno; Santo Andre; Segunda-feira; 21:00; 23:00; S-207-0; semanal; Teorica; Yossi Zana; Bacharelado em Ciencia e Tecnologia;
BC0504; Natureza da Informacao; A; Noturno; Santo Andre; Quarta-feira; 19:00; 21:00; S-207-0; quinzenal II; Teorica; Yossi Zana; Bacharelado em Ciencia e Tecnologia;
BC0304; Origem da Vida e Diversidade dos Seres Vivos; A; Noturno; Santo Andre; Quarta-feira; 19:00; 21:00; A-106-0; quinzenal I; Teorica; Eduardo Leite Borba; Bacharelado em Ciencia e Tecnologia;
BC0304; Origem da Vida e Diversidade dos Seres Vivos; A; Noturno; Santo Andre; Sexta-feira; 19:00; 21:00; A-106-0; semanal; Teorica; Eduardo Leite Borba; Bacharelado em Ciencia e Tecnologia;
BC1513; Redes de Computadores; A1; Noturno; Santo Andre; Quarta-feira; 21:00; 23:00; S-301-3; semanal; Teorica; Joao Henrique Kleinschmidt; Bacharelado em Ciencia da Computacao;
BC1513; Redes de Computadores; A1; Noturno; Santo Andre; Sexta-feira; 19:00; 21:00; 107-0; semanal; Teorica; Joao Henrique Kleinschmidt; Bacharelado em Ciencia da Computacao;
BC1513; Redes de Computadores; A1; Noturno; Santo Andre; Sexta-feira; 19:00; 21:00; 408-2; semanal; Pratica; Nunzio Marco Torrisi; Bacharelado em Ciencia da Computacao;
BC1513; Redes de Computadores; A2; Noturno; Santo Andre; Quarta-feira; 21:00; 23:00; S-301-3; semanal; Teorica; Joao Henrique Kleinschmidt; Bacharelado em Ciencia da Computacao;
BC1513; Redes de Computadores; A2; Noturno; Santo Andre; Sexta-feira; 19:00; 21:00; 107-0; semanal; Teorica; Joao Henrique Kleinschmidt; Bacharelado em Ciencia da Computacao;
BC1513; Redes de Computadores; A2; Noturno; Santo Andre; Sexta-feira; 19:00; 21:00; 404-2; semanal; Pratica; Gustavo Sousa Pavani; Bacharelado em Ciencia da Computacao;
MC6006; Redes sem Fio; A; Noturno; Santo Andre; Quarta-feira; 19:00; 21:00; 404-2; semanal; Pratica; Gustavo Sousa Pavani; Bacharelado em Ciencia da Computacao;
MC6006; Redes sem Fio; A; Noturno; Santo Andre; Sexta-feira; 21:00; 23:00; 404-2; semanal; Pratica; Gustavo Sousa Pavani; Bacharelado em Ciencia da Computacao;
BC1510; Sistemas de Informacao; A; Noturno; Santo Andre; Terca-feira; 19:00; 21:00; S-301-3; semanal; Teorica; Francisco de Assis Zampirolli; Bacharelado em Ciencia da Computacao;
BC1510; Sistemas de Informacao; A; Noturno; Santo Andre; Quinta-feira; 21:00; 23:00; S-308-2; semanal; Teorica; Francisco de Assis Zampirolli; Bacharelado em Ciencia da Computacao;
MC3304; Sistemas Digitais; A1; Noturno; Santo Andre; Quarta-feira; 19:00; 21:00; S-301-3; semanal; Teorica; Jose Artur Quilici Gonzalez; Bacharelado em Ciencia da Computacao;
MC3304; Sistemas Digitais; A1; Noturno; Santo Andre; Terca-feira; 19:00; 21:00; 408-2; semanal; Pratica; Jose Artur Quilici Gonzalez; Bacharelado em Ciencia da Computacao;
MC3304; Sistemas Digitais; A2; Noturno; Santo Andre; Quarta-feira; 19:00; 21:00; S-301-3; semanal; Teorica; Jose Artur Quilici Gonzalez; Bacharelado em Ciencia da Computacao;
MC3304; Sistemas Digitais; A2; Noturno; Santo Andre; Terca-feira; 21:00; 23:00; 408-2; semanal; Pratica; Jose Artur Quilici Gonzalez; Bacharelado em Ciencia da Computacao;
BC0306; Transformacoes nos Seres Vivos e Ambiente; A; Noturno; Santo Andre; Quarta-feira; 19:00; 21:00; A-113-0; quinzenal I; Teorica; Simone Rodrigues de Freitas; Bacharelado em Ciencia e Tecnologia;
BC0306; Transformacoes nos Seres Vivos e Ambiente; A; Noturno; Santo Andre; Sexta-feira; 19:00; 21:00; A-113-0; semanal; Teorica; Simone Rodrigues de Freitas; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A1; Noturno; Santo Andre; Quarta-feira; 19:00; 21:00; A-101-0; quinzenal II; Teorica; Hugo Barbosa Suffredini; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A1; Noturno; Santo Andre; Sexta-feira; 21:00; 23:00; A-101-0; semanal; Teorica; Hugo Barbosa Suffredini; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A1; Noturno; Santo Andre; Sexta-feira; 19:00; 21:00; L601; semanal; Pratica; Rodrigo Maghdissian Cordeiro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A2; Noturno; Santo Andre; Quarta-feira; 19:00; 21:00; A-101-0; quinzenal II; Teorica; Hugo Barbosa Suffredini; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A2; Noturno; Santo Andre; Sexta-feira; 21:00; 23:00; A-101-0; semanal; Teorica; Hugo Barbosa Suffredini; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A2; Noturno; Santo Andre; Sexta-feira; 19:00; 21:00; L602; semanal; Pratica; Angela Albuquerque Teixeira Neto; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A3; Noturno; Santo Andre; Quarta-feira; 19:00; 21:00; A-101-0; quinzenal II; Teorica; Hugo Barbosa Suffredini; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A3; Noturno; Santo Andre; Sexta-feira; 21:00; 23:00; A-101-0; semanal; Teorica; Hugo Barbosa Suffredini; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A3; Noturno; Santo Andre; Sexta-feira; 19:00; 21:00; L605; semanal; Pratica; Dalmo Mandelli; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A4; Noturno; Santo Andre; Quarta-feira; 19:00; 21:00; A-102-0; quinzenal II; Teorica; Anderson Orzari Ribeiro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A4; Noturno; Santo Andre; Sexta-feira; 21:00; 23:00; A-102-0; semanal; Teorica; Anderson Orzari Ribeiro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A4; Noturno; Santo Andre; Sexta-feira; 19:00; 21:00; L606; semanal; Pratica; Viviane Viana Silva; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A5; Noturno; Santo Andre; Quarta-feira; 19:00; 21:00; A-102-0; quinzenal II; Teorica; Anderson Orzari Ribeiro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A5; Noturno; Santo Andre; Sexta-feira; 21:00; 23:00; A-102-0; semanal; Teorica; Anderson Orzari Ribeiro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A5; Noturno; Santo Andre; Sexta-feira; 19:00; 21:00; 404-3; semanal; Pratica; Mariselma Ferreira; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A6; Noturno; Santo Andre; Quarta-feira; 19:00; 21:00; A-102-0; quinzenal II; Teorica; Anderson Orzari Ribeiro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A6; Noturno; Santo Andre; Sexta-feira; 21:00; 23:00; A-102-0; semanal; Teorica; Anderson Orzari Ribeiro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A6; Noturno; Santo Andre; Sexta-feira; 19:00; 21:00; 405-3; semanal; Pratica; Adelaide Faljoni Alario; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A7; Noturno; Santo Andre; Quarta-feira; 19:00; 21:00; A-103-0; quinzenal II; Teorica; Bruno Lemos Batista; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A7; Noturno; Santo Andre; Sexta-feira; 21:00; 23:00; A-103-0; semanal; Teorica; Bruno Lemos Batista; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A7; Noturno; Santo Andre; Sexta-feira; 19:00; 21:00; 406-3; semanal; Pratica; Bruno Lemos Batista; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A8; Noturno; Santo Andre; Quarta-feira; 19:00; 21:00; A-103-0; quinzenal II; Teorica; Bruno Lemos Batista; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A8; Noturno; Santo Andre; Sexta-feira; 21:00; 23:00; A-103-0; semanal; Teorica; Bruno Lemos Batista; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A8; Noturno; Santo Andre; Sexta-feira; 19:00; 21:00; 408-3; semanal; Pratica; Maraisa Goncalves; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A9; Noturno; Santo Andre; Quarta-feira; 19:00; 21:00; A-103-0; quinzenal II; Teorica; Bruno Lemos Batista; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A9; Noturno; Santo Andre; Sexta-feira; 21:00; 23:00; A-103-0; semanal; Teorica; Bruno Lemos Batista; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A9; Noturno; Santo Andre; Sexta-feira; 19:00; 21:00; 501-1; semanal; Pratica; Gustavo Morari do Nascimento; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B1; Noturno; Santo Andre; Quarta-feira; 21:00; 23:00; A-104-0; quinzenal II; Teorica; Hugo Barbosa Suffredini; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B1; Noturno; Santo Andre; Sexta-feira; 19:00; 21:00; A-104-0; semanal; Teorica; Hugo Barbosa Suffredini; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B1; Noturno; Santo Andre; Sexta-feira; 21:00; 23:00; L601; semanal; Pratica; Rodrigo Maghdissian Cordeiro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B2; Noturno; Santo Andre; Quarta-feira; 21:00; 23:00; A-104-0; quinzenal II; Teorica; Hugo Barbosa Suffredini; Bacharelado em Ciencia e Tecnologia;
