BC1426; Logica Basica; A; Diurno; Santo Andre; Sexta-feira; 14:00; 16:00; S-213-0; semanal; Teorica; Luis Paulo Barbour Scott; Bacharelado em Ciencia da Computacao;
BC0504; Natureza da Informacao; A; Diurno; Santo Andre; Segunda-feira; 10:00; 12:00; A-113-0; semanal; Teorica; Yossi Zana; Bacharelado em Ciencia e Tecnologia;
BC0504; Natureza da Informacao; A; Diurno; Santo Andre; Quarta-feira; 08:00; 10:00; A-113-0; quinzenal II; Teorica; Yossi Zana; Bacharelado em Ciencia e Tecnologia;
BC1513; Redes de Computadores; A1; Diurno; Santo Andre; Quarta-feira; 08:00; 10:00; S-301-3; semanal; Teorica; Joao Henrique Kleinschmidt; Bacharelado em Ciencia da Computacao;
BC1513; Redes de Computadores; A1; Diurno; Santo Andre; Sexta-feira; 10:00; 12:00; 107-0; semanal; Teorica; Joao Henrique Kleinschmidt; Bacharelado em Ciencia da Computacao;
BC1513; Redes de Computadores; A1; Diurno; Santo Andre; Sexta-feira; 10:00; 12:00; 408-2; semanal; Pratica; Joao Henrique Kleinschmidt; Bacharelado em Ciencia da Computacao;
BC1513; Redes de Computadores; A2; Diurno; Santo Andre; Quarta-feira; 08:00; 10:00; S-301-3; semanal; Teorica; Joao Henrique Kleinschmidt; Bacharelado em Ciencia da Computacao;
BC1513; Redes de Computadores; A2; Diurno; Santo Andre; Sexta-feira; 10:00; 12:00; 107-0; semanal; Teorica; Joao Henrique Kleinschmidt; Bacharelado em Ciencia da Computacao;
BC1513; Redes de Computadores; A2; Diurno; Santo Andre; Sexta-feira; 10:00; 12:00; 404-2; semanal; Pratica; Gustavo Sousa Pavani; Bacharelado em Ciencia da Computacao;
MC3304; Sistemas Digitais; A1; Diurno; Santo Andre; Quarta-feira; 10:00; 12:00; S-301-3; semanal; Teorica; Jose Artur Quilici Gonzalez; Bacharelado em Ciencia da Computacao;
MC3304; Sistemas Digitais; A1; Diurno; Santo Andre; Terca-feira; 08:00; 10:00; 408-2; semanal; Pratica; Jose Artur Quilici Gonzalez; Bacharelado em Ciencia da Computacao;
BC0306; Transformacoes nos Seres Vivos e Ambiente; A; Diurno; Santo Andre; Quarta-feira; 08:00; 10:00; A-106-0; quinzenal I; Teorica; Carlos Suetoshi Miyazawa; Bacharelado em Ciencia e Tecnologia;
BC0306; Transformacoes nos Seres Vivos e Ambiente; A; Diurno; Santo Andre; Sexta-feira; 08:00; 10:00; A-106-0; semanal; Teorica; Carlos Suetoshi Miyazawa; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A1; Diurno; Santo Andre; Quarta-feira; 08:00; 10:00; A-101-0; quinzenal II; Teorica; Rodrigo Maghdissian Cordeiro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A1; Diurno; Santo Andre; Sexta-feira; 10:00; 12:00; A-101-0; semanal; Teorica; Rodrigo Maghdissian Cordeiro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A1; Diurno; Santo Andre; Sexta-feira; 08:00; 10:00; L601; semanal; Pratica; Vani Xavier de Oliveira Junior; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A2; Diurno; Santo Andre; Sexta-feira; 10:00; 12:00; A-101-0; semanal; Teorica; Rodrigo Maghdissian Cordeiro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A2; Diurno; Santo Andre; Sexta-feira; 08:00; 10:00; L602; semanal; Pratica; Anderson Orzari Ribeiro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A3; Diurno; Santo Andre; Quarta-feira; 08:00; 10:00; A-101-0; quinzenal II; Teorica; Rodrigo Maghdissian Cordeiro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A3; Diurno; Santo Andre; Sexta-feira; 10:00; 12:00; A-101-0; semanal; Teorica; Rodrigo Maghdissian Cordeiro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A3; Diurno; Santo Andre; Sexta-feira; 08:00; 10:00; L605; semanal; Pratica; Bruno Lemos Batista; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A4; Diurno; Santo Andre; Quarta-feira; 08:00; 10:00; A-102-0; quinzenal II; Teorica; Luiz Francisco Monteiro Leite Ciscato; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A4; Diurno; Santo Andre; Sexta-feira; 10:00; 12:00; A-102-0; semanal; Teorica; Luiz Francisco Monteiro Leite Ciscato; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A4; Diurno; Santo Andre; Sexta-feira; 08:00; 10:00; L606; semanal; Pratica; Heloisa Franca Maltez; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A5; Diurno; Santo Andre; Quarta-feira; 08:00; 10:00; A-102-0; quinzenal II; Teorica; Luiz Francisco Monteiro Leite Ciscato; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A5; Diurno; Santo Andre; Sexta-feira; 10:00; 12:00; A-102-0; semanal; Teorica; Luiz Francisco Monteiro Leite Ciscato; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A5; Diurno; Santo Andre; Sexta-feira; 08:00; 10:00; 404-3; semanal; Pratica; Patricia Dantoni Alnis Bezerra; Bacharelado em Ciencia e Tecnologia;
